10000001;123456;Alisha
10000002;123456;FabHomeDecor
10000003;123456;BigCompany
10000004;123456;Sicons
10000005;123456;Eternal Gandhi
10000006;123456;dilli bazaaar
10000007;123456;Ladela
10000008;123456;Carrel
10000009;123456;Freelance
10000010;123456;Style Foot
10000011;123456;dongli
10000012;123456;SWAGGA
10000013;123456;Kennel
10000014;123456;Bengal Blooms
10000015;123456;Indcrown
10000016;123456;Shopmania
10000017;123456;Tiara Diaries
10000018;123456;KAJCI
10000019;123456;Packman
10000020;123456;Pick Pocket
10000021;123456;Angelfish
10000022;123456;Oye
10000023;123456;Nuride
10000024;123456;OM SHIVAKRITI
10000025;123456;Himmlisch
10000026;123456;Rapter
10000027;123456;Vishudh
10000028;123456;BuildTrack
10000029;123456;Skayvon
10000030;123456;MASARA
10000031;123456;Behringer
10000032;123456;Roadster
10000033;123456;Noor
10000034;123456;Libas
10000035;123456;HRS
10000036;123456;Vermello
10000037;123456;Ligans NY
10000038;123456;Elegance
10000039;123456;Liza
10000040;123456;Sathiyas
10000041;123456;SANTOSH ROYAL FASHION
10000042;123456;CASEDEAL
10000043;123456;Mario Gotze
10000044;123456;Jaipur Print
10000045;123456;Shilpi
10000046;123456;Babeezworld
10000047;123456;Redbag
10000048;123456;Slim
10000049;123456;Skanders
10000050;123456;Regular
10000051;123456;Skinny Fit
10000052;123456;ezyPRNT
10000053;123456;Traditions
10000054;123456;First Choice
10000055;123456;Eccellente
10000056;123456;Nechams
10000057;123456;JASPO
10000058;123456;Masaba for Magic fairy
10000059;123456;Momin Libas
10000060;123456;ACM
10000061;123456;A R ENTERPRISES
10000062;123456;ShoeBuzz
10000063;123456;Zed
10000064;123456;House This
10000065;123456;womaniya
10000066;123456;Taj Pearl
10000067;123456;Bento
10000068;123456;Wake Up Competition
10000069;123456;Cellbazaar
10000070;123456;Dressberry
10000071;123456;Mast & Harbour
10000072;123456;Sisel
10000073;123456;Knight Ace
10000074;123456;Great Art
10000075;123456;Indistar
10000076;123456;Glacier
10000077;123456;Zoe Marciano
10000078;123456;Asics
10000079;123456;Escan
10000080;123456;Nine Maternity Wear
10000081;123456;Kleio
10000082;123456;Skipper
10000083;123456;Mizuno
10000084;123456;Turbo
10000085;123456;Pure Source
10000086;123456;Asian Gems & Jewels
10000087;123456;Nishtaa
10000088;123456;BlueStone
10000089;123456;Karatcraft
10000090;123456;Living World by Home Stop
10000091;123456;Regular Fit
10000092;123456;CaratLane
10000093;123456;Araanz by Tribhovandas Bhimji Zaveri Delhi
10000094;123456;Kiara Jewellery
10000095;123456;JDX
10000096;123456;Riva Carpets
10000097;123456;G-Luck
10000098;123456;Wise Guys
10000099;123456;Kundali
10000100;123456;Myesquire
10000101;123456;H E Creations
10000102;123456;KuberBox
10000103;123456;Zenescope Entertainment
10000104;123456;Twilight Creations
10000105;123456;Dungri India Craft
10000106;123456;Newworld
10000107;123456;Hariom Enterprises
10000108;123456;BFT
10000109;123456;Lamy
10000110;123456;Medimix
10000111;123456;American-Elm
10000112;123456;LG
10000113;123456;Raymond
10000114;123456;Furst
10000115;123456;KalaBhawan
10000116;123456;Sunrise
10000117;123456;Jayanti sarees
10000118;123456;JMD
10000119;123456;Mom and Kid
10000120;123456;reckonon
10000121;123456;Zebra
10000122;123456;Devinez
10000123;123456;Kripa's
10000124;123456;ROSEMOORE
10000125;123456;Itiha
10000126;123456;Mynte
10000127;123456;TRESemme
10000128;123456;AKUP
10000129;123456;MohanJodero
10000130;123456;Burt s Bees
10000131;123456;D-Link
10000132;123456;Suave
10000133;123456;Dove
10000134;123456;Paul Mitchell
10000135;123456;RoQ
10000136;123456;BrandTrendz
10000137;123456;Crocs
10000138;123456;Com-Paint
10000139;123456;MERIL
10000140;123456;Asian Aura
10000141;123456;Niremo
10000142;123456;Aadyaa Collections
10000143;123456;INDRICKA
10000144;123456;Schtaron
10000145;123456;D'clair
10000146;123456;Herbal Jewellery
10000147;123456;Riot Jeans
10000148;123456;Mount Nano
10000149;123456;V4STYLES
10000150;123456;Carmity
10000151;123456;PHOCOS
10000152;123456;Dupli Color
10000153;123456;TAB91
10000154;123456;Trigcars
10000155;123456;HANSFOOTNFIT
10000156;123456;Selfiwear
10000157;123456;S9 WOMEN
10000158;123456;esoft
10000159;123456;Imported
10000160;123456;Pink Rose
10000161;123456;Autofurnish
10000162;123456;CSBS Sale
10000163;123456;i-gadgets
10000164;123456;DEEP FASHION
10000165;123456;Loreal
10000166;123456;FIla
10000167;123456;INDIANO
10000168;123456;BGS
10000169;123456;Proganix
10000170;123456;Rainfun
10000171;123456;Anno Dominii
10000172;123456;Lovely Chick
10000173;123456;Pavers England
10000174;123456;Wolfer
10000175;123456;Neo strike
10000176;123456;cm
10000177;123456;Galaxy
10000178;123456;C Kreul
10000179;123456;OASIS
10000180;123456;GOLDEN GLOBE
10000181;123456;Escoda
10000182;123456;Cookart
10000183;123456;Wardtrobe
10000184;123456;Mineral
10000185;123456;Zastraa
10000186;123456;LA ATTIRE
10000187;123456;Abony
10000188;123456;Corona
10000189;123456;Mode
10000190;123456;JRB
10000191;123456;Digni
